id,totalwhite,totalppl,over65,total65
270530203032,471,1524,198,1524
270530203033,634,1172,150,1172
270530203041,434,1755,176,1755
270530203042,267,766,106,766
270530203043,452,965,74,965
270530204001,242,583,70,583
270530204002,880,1536,140,1536
270530204003,787,1720,204,1720
270530204004,599,1257,224,1257
270530205001,707,1117,111,1117
270530205002,435,1183,128,1183
270530205003,662,1303,133,1303
270530206001,657,1310,276,1310
270530206002,427,927,84,927
270530207001,723,1088,154,1088
270530207002,570,1052,107,1052
270530207003,977,1078,124,1078
270530207004,880,1048,207,1048
270530208011,660,1072,110,1072
270530208012,702,932,140,932
270530208041,213,1244,147,1244
270530208042,833,1022,79,1022
270530208043,599,867,168,867
270530209021,1073,1227,134,1227
270530209022,845,992,204,992
270530209031,928,1167,210,1167
270530209032,482,610,63,610
270530209033,1164,1352,195,1352
270530210011,932,1822,152,1822
270530210012,851,1067,89,1067
270530210013,609,656,70,656
270530210014,729,1074,100,1074
270530210015,1242,1464,324,1464
270530210021,1520,1912,407,1912
270530211001,428,597,77,597
270530211002,1094,1375,138,1375
270530212001,582,783,92,783
270530212002,877,1130,166,1130
270530212003,976,1127,88,1127
270530212004,658,787,90,787
270530212005,464,801,82,801
270530213001,1157,1721,475,1721
270530213002,691,950,251,950
270530213003,591,998,63,998
270530213004,778,946,73,946
270530214001,879,1066,83,1066
270530214002,819,1008,130,1008
270530214003,619,1157,60,1157
270530215011,939,1455,333,1455
270530215012,1107,1352,234,1352
270530215013,1068,1430,596,1430
270530215021,748,1847,88,1847
270530215022,647,734,427,734
270530215023,412,1245,148,1245
270530215031,725,1277,268,1277
270530215032,822,1254,147,1254
270530215033,881,975,196,975
270530215034,534,1439,162,1439
270530215041,474,839,85,839
270530215042,751,1049,117,1049
270530215043,654,820,180,820
270530215044,698,851,242,851
270530215051,914,1342,229,1342
270530215052,1352,1785,208,1785
270530215053,487,699,170,699
270530215054,474,680,136,680
270530216011,946,1093,229,1093
270530216012,1351,1957,358,1957
270530216013,946,1143,227,1143
270530216021,1189,1336,483,1336
270530216022,1298,1355,390,1355
270530216023,847,998,170,998
270530216024,777,1005,146,1005
270530216025,231,680,62,680
270530216026,717,950,127,950
270530217001,617,689,158,689
270530217002,625,649,147,649
270530217003,957,1156,192,1156
270530217004,925,1217,243,1217
270530217005,1048,1187,97,1187
270530218001,762,902,256,902
270530218002,1206,1414,241,1414
270530219001,1045,1204,306,1204
270530219002,578,812,167,812
270530219003,1304,1461,240,1461
270530220001,813,1038,74,1038
270530220002,557,620,71,620
270530221011,883,1094,160,1094
270530221012,996,1623,93,1623
270530221021,1004,1440,190,1440
270530221022,1064,1387,225,1387
270530222001,631,648,190,648
270530222002,1806,2069,122,2069
270530222003,696,759,103,759
270530222004,1051,1105,130,1105
270530223011,885,1039,129,1039
270530223012,1151,1226,548,1226
270530223021,773,1307,53,1307
270530223022,809,876,419,876
270530223023,850,1104,88,1104
270530224001,570,600,107,600
270530224002,469,521,53,521
270530224003,921,1033,120,1033
270530224004,832,1652,301,1652
270530227001,1648,2544,173,2544
270530227002,882,944,108,944
270530227003,683,882,72,882
270530228011,1097,1240,203,1240
270530228012,772,819,146,819
270530228021,1695,2094,366,2094
270530228022,1146,1343,124,1343
270530229011,1086,1254,173,1254
270530229012,939,979,160,979
270530229013,1426,1694,534,1694
270530229014,936,953,61,953
270530229021,562,597,91,597
270530229022,942,1043,107,1043
270530230001,1804,2054,272,2054
270530230002,425,1172,13,1172
270530230003,1435,1526,129,1526
270530231001,1046,1190,116,1190
270530231002,648,680,99,680
270530232001,633,965,102,965
270530232002,815,967,375,967
270530232003,676,1720,131,1720
270530232004,280,758,42,758
270530232005,216,1546,40,1546
270530233001,965,1204,96,1204
270530233002,886,2213,382,2213
270530233003,945,1132,94,1132
270530233004,1070,1323,206,1323
270530234001,382,1857,91,1857
270530234002,446,469,140,469
270530234003,765,1261,108,1261
270530234004,990,1152,224,1152
270530234005,955,1650,351,1650
270530235011,1337,1523,455,1523
270530235012,1138,1244,298,1244
270530235013,756,969,102,969
270530235021,614,693,61,693
270530235022,856,936,252,936
270530235023,1609,1672,209,1672
270530235024,967,999,231,999
270530235025,1048,1177,445,1177
270530236001,1248,1356,346,1356
270530236002,1005,1050,138,1050
270530236003,1298,1419,111,1419
270530237001,1231,1349,319,1349
270530237002,784,862,125,862
270530237003,919,1089,186,1089
270530237004,1318,1407,354,1407
270530238011,960,1053,134,1053
270530238012,897,1066,74,1066
270530238013,1091,1208,222,1208
270530238014,873,950,107,950
270530238015,1086,1131,90,1131
270530238021,957,1082,123,1082
270530238022,659,1067,169,1067
270530238023,620,713,102,713
270530239011,1209,1291,222,1291
270530239012,789,822,161,822
270530239013,1422,1504,215,1504
270530239021,777,920,176,920
270530239022,957,1224,256,1224
270530239031,775,946,165,946
270530239032,793,1077,268,1077
270530239033,1104,1216,596,1216
270530240031,1545,1708,341,1708
270530240032,1079,2354,191,2354
270530240033,545,1033,96,1033
270530240041,1104,1192,618,1192
270530240042,1025,1829,725,1829
270530240043,1008,1329,544,1329
270530240051,814,1142,241,1142
270530240052,969,1107,499,1107
270530240061,1041,1104,195,1104
270530240062,764,920,271,920
270530241001,1092,1438,231,1438
270530241002,717,1020,143,1020
270530241003,581,1007,163,1007
270530242001,796,846,104,846
270530242002,700,743,117,743
270530242003,1081,1415,144,1415
270530243001,431,988,18,988
270530243002,79,519,65,519
270530243003,958,1812,70,1812
270530243004,773,1160,206,1160
270530244001,1087,1568,223,1568
270530244002,2081,2408,1436,2408
270530245001,480,725,186,725
270530245002,728,867,122,867
270530245003,527,657,122,657
270530246001,730,1014,145,1014
270530246002,870,1481,222,1481
270530246003,1118,1564,194,1564
270530247001,729,1037,207,1037
270530247002,722,1022,169,1022
270530247003,718,1182,73,1182
270530248011,638,1195,108,1195
270530248012,567,1188,177,1188
270530248021,358,732,122,732
270530248022,339,1353,208,1353
270530248023,582,703,90,703
270530249011,376,704,94,704
270530249012,224,353,16,353
270530249021,622,1571,92,1571
270530249022,795,1198,156,1198
270530249031,460,1279,116,1279
270530249032,477,1244,179,1244
270530251001,511,913,171,913
270530251002,382,1145,26,1145
270530251003,643,705,196,705
270530252011,872,1462,187,1462
270530252012,744,1877,183,1877
270530252013,364,1970,38,1970
270530252051,489,770,78,770
270530252052,645,812,174,812
270530252053,1088,1371,233,1371
270530252054,743,1197,60,1197
270530252055,398,856,139,856
270530253011,821,1049,155,1049
270530253012,919,1021,331,1021
270530253013,779,817,224,817
270530253021,1102,1476,326,1476
270530253022,989,1354,127,1354
270530253023,1042,1483,321,1483
270530254011,789,1473,170,1473
270530254012,807,1455,204,1455
270530254013,496,1314,227,1314
270530254031,639,1511,151,1511
270530254032,942,1527,144,1527
270530254033,838,1335,228,1335
270530256011,902,1287,361,1287
270530256012,990,1091,197,1091
270530256031,590,966,185,966
270530256032,1039,1131,218,1131
270530256033,857,892,220,892
270530256034,762,923,201,923
270530256051,751,942,198,942
270530256052,681,881,216,881
270530256053,824,1004,169,1004
270530256054,472,716,97,716
270530257011,883,1347,135,1347
270530257012,993,1025,172,1025
270530257013,845,1007,209,1007
270530257014,513,513,205,513
270530257015,996,1342,63,1342
270530257016,1397,1674,380,1674
270530257021,690,794,69,794
270530257022,332,434,97,434
270530257023,708,1019,248,1019
270530257024,728,1092,211,1092
270530257025,715,1188,438,1188
270530258011,712,873,316,873
270530258012,755,1378,58,1378
270530258013,820,870,188,870
270530258021,1040,1273,271,1273
270530258022,948,1002,177,1002
270530258031,493,690,125,690
270530258032,1014,1340,222,1340
270530258033,729,1026,233,1026
270530258051,1072,1296,487,1296
270530258052,658,767,221,767
270530258053,567,621,118,621
270530259031,1031,1334,301,1334
270530259032,717,876,274,876
270530259033,1140,1459,282,1459
270530259034,1014,1235,260,1235
270530259035,974,1053,314,1053
270530259051,863,971,271,971
270530259052,1127,1274,358,1274
270530259053,428,547,182,547
270530259054,760,787,529,787
270530259061,968,1701,121,1701
270530259062,1069,1105,103,1105
270530259063,1246,1706,242,1706
270530259064,1353,1613,385,1613
270530259071,936,1055,155,1055
270530259072,1322,1477,378,1477
270530259073,1202,1339,253,1339
270530259074,740,887,206,887
270530260051,542,851,129,851
270530260052,1543,1788,190,1788
270530260053,916,1207,128,1207
270530260061,651,687,156,687
270530260062,492,691,95,691
270530260063,1271,1599,236,1599
270530260071,1934,2464,424,2464
270530260072,930,1050,140,1050
270530260073,829,1419,86,1419
270530260131,846,900,113,900
270530260132,1200,1537,136,1537
270530260133,1130,1171,146,1171
270530260134,1026,1157,93,1157
270530260141,1370,1495,118,1495
270530260142,1545,1853,135,1853
270530260143,1690,1893,365,1893
270530260151,1646,1750,214,1750
270530260152,1311,1626,186,1626
270530260153,1456,1850,251,1850
270530260161,1771,1955,286,1955
270530260162,2067,2579,385,2579
270530260163,1965,2474,326,2474
270530260181,1843,3075,161,3075
270530260182,2040,2373,467,2373
270530260183,1709,1837,225,1837
270530260191,607,1196,95,1196
270530260192,1828,4065,99,4065
270530260193,80,869,28,869
270530260201,1503,1645,582,1645
